orig_split,cls,src,rawkey,name,path,w,h,fmt,mode,short
train,fire,flickr,21292365472,21292365472_7045d2f1bc_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/21292365472_7045d2f1bc_o.jpg,4128,2322,JPEG,RGB,2322
train,fire,flickr,21302983615,21302983615_746b31213b_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/21302983615_746b31213b_o.jpg,4128,2322,JPEG,RGB,2322
train,fire,flickr,21338590626,21338590626_bcb81e24eb_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/21338590626_bcb81e24eb_o.jpg,4128,3096,JPEG,RGB,3096
train,fire,flickr,21373170891,21373170891_b45a5cfd52_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/21373170891_b45a5cfd52_o.jpg,4128,3096,JPEG,RGB,3096
train,fire,flickr,21420066145,21420066145_eef9273782_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/21420066145_eef9273782_o.jpg,8427,2088,JPEG,RGB,2088
train,fire,flickr,21421381505,21421381505_d553b92779_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/21421381505_d553b92779_o.jpg,2576,1716,JPEG,RGB,1716
train,fire,flickr,21429820471,21429820471_b637dc46de_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/21429820471_b637dc46de_o.jpg,2576,1716,JPEG,RGB,1716
train,fire,flickr,21430901462,21430901462_34c777a3b0_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/21430901462_34c777a3b0_o.jpg,5739,3826,JPEG,RGB,3826
train,fire,flickr,21445932255,21445932255_5c5391fcc5_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/21445932255_5c5391fcc5_o.jpg,4320,3240,MPO,RGB,3240
train,fire,flickr,21450338211,21450338211_5e5932e711_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/21450338211_5e5932e711_o.jpg,5599,3733,JPEG,RGB,3733
train,fire,flickr,23520595608,23520595608_990735d4cb_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/23520595608_990735d4cb_o.jpg,3264,2448,JPEG,RGB,2448
train,fire,flickr,23862985278,23862985278_40828912c5_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/23862985278_40828912c5_o.jpg,5562,3120,JPEG,RGB,3120
train,fire,flickr,25268092618,25268092618_d42532a7db_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/25268092618_d42532a7db_o.jpg,5472,3648,JPEG,RGB,3648
train,fire,flickr,26072333151,26072333151_58603327f0_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/26072333151_58603327f0_o.jpg,3264,2448,JPEG,RGB,2448
train,fire,flickr,26522932166,26522932166_35e042ca06_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/26522932166_35e042ca06_o.jpg,8724,4500,JPEG,RGB,4500
train,fire,flickr,26943699047,26943699047_f37536c99a_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/26943699047_f37536c99a_o.jpg,6000,4000,JPEG,RGB,4000
train,fire,flickr,26943713307,26943713307_03bc33d56f_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/26943713307_03bc33d56f_o.jpg,6000,4000,JPEG,RGB,4000
train,fire,flickr,26943717707,26943717707_d2f58089f8_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/26943717707_d2f58089f8_o.jpg,6000,4000,JPEG,RGB,4000
train,fire,flickr,26943722567,26943722567_2e81b7882d_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/26943722567_2e81b7882d_o.jpg,6000,4000,JPEG,RGB,4000
train,fire,flickr,27002907153,27002907153_c817ac6558_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/27002907153_c817ac6558_o.jpg,3264,2448,JPEG,RGB,2448
train,fire,flickr,27389369134,27389369134_99b5b0da54_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/27389369134_99b5b0da54_o.jpg,2592,1936,JPEG,RGB,1936
train,fire,flickr,27389369204,27389369204_5f76e1e3f1_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/27389369204_5f76e1e3f1_o.jpg,1632,1224,JPEG,RGB,1224
train,fire,flickr,27539093561,27539093561_c89709c6c0_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/27539093561_c89709c6c0_o.jpg,5312,2988,JPEG,RGB,2988
train,fire,flickr,27866316047,27866316047_a4b6968d59_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/27866316047_a4b6968d59_o.jpg,2048,1365,JPEG,RGB,1365
train,fire,flickr,27900338542,27900338542_810a1ba4be_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/27900338542_810a1ba4be_o.jpg,3000,2250,JPEG,RGB,2250
train,fire,flickr,27949942844,27949942844_6a9d195535_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/27949942844_6a9d195535_o.jpg,2000,1501,JPEG,RGB,1501
train,fire,flickr,27951203483,27951203483_b40a9b0aa5_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/27951203483_b40a9b0aa5_o.jpg,2086,1536,JPEG,RGB,1536
train,fire,flickr,27978266643,27978266643_95de6efafa_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/27978266643_95de6efafa_o.jpg,5312,2988,JPEG,RGB,2988
train,fire,flickr,27978279043,27978279043_c8e3467021_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/27978279043_c8e3467021_o.jpg,5312,2988,JPEG,RGB,2988
train,fire,flickr,28015042694,28015042694_dcc7244bfd_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28015042694_dcc7244bfd_o.jpg,1224,1632,JPEG,RGB,1224
train,fire,flickr,28072622597,28072622597_f789e0f490_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28072622597_f789e0f490_o.jpg,5068,3379,JPEG,RGB,3379
train,fire,flickr,28368363193,28368363193_a86b925901_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28368363193_a86b925901_o.jpg,2814,3752,JPEG,RGB,2814
train,fire,flickr,28431966447,28431966447_1533de1d5f_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28431966447_1533de1d5f_o.jpg,5178,3452,JPEG,RGB,3452
train,fire,flickr,28431966937,28431966937_30ca6f9f2e_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28431966937_30ca6f9f2e_o.jpg,5472,3648,JPEG,RGB,3648
train,fire,flickr,28431967897,28431967897_9feb07ecd5_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28431967897_9feb07ecd5_o.jpg,3648,5472,JPEG,RGB,3648
train,fire,flickr,28431968257,28431968257_796522ea52_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28431968257_796522ea52_o.jpg,5472,3648,JPEG,RGB,3648
train,fire,flickr,28431969527,28431969527_cc48b18b05_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28431969527_cc48b18b05_o.jpg,5472,3648,JPEG,RGB,3648
train,fire,flickr,28431969917,28431969917_c7ae8874e7_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28431969917_c7ae8874e7_o.jpg,3648,5472,JPEG,RGB,3648
train,fire,flickr,28431970167,28431970167_11c406b50f_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28431970167_11c406b50f_o.jpg,3648,5472,JPEG,RGB,3648
train,fire,flickr,28431971297,28431971297_d7b1c5383a_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28431971297_d7b1c5383a_o.jpg,5472,3648,JPEG,RGB,3648
train,fire,flickr,28431972557,28431972557_7b9a741b18_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28431972557_7b9a741b18_o.jpg,5472,3648,JPEG,RGB,3648
train,fire,flickr,28431975197,28431975197_d6415bdce5_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28431975197_d6415bdce5_o.jpg,5472,3648,JPEG,RGB,3648
train,fire,flickr,28431976157,28431976157_b75441158f_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28431976157_b75441158f_o.jpg,3648,5472,JPEG,RGB,3648
train,fire,flickr,28431976667,28431976667_00d38c095d_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28431976667_00d38c095d_o.jpg,5472,3648,JPEG,RGB,3648
train,fire,flickr,28459940212,28459940212_0009f6b02b_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28459940212_0009f6b02b_o.jpg,3024,3024,JPEG,RGB,3024
train,fire,flickr,28459976202,28459976202_11d097d569_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28459976202_11d097d569_o.jpg,4752,3168,JPEG,RGB,3168
train,fire,flickr,28460392672,28460392672_b45947296a_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28460392672_b45947296a_o.jpg,3072,4608,JPEG,RGB,3072
train,fire,flickr,28460392742,28460392742_954d8b5806_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28460392742_954d8b5806_o.jpg,2988,5312,JPEG,RGB,2988
train,fire,flickr,28460392812,28460392812_9697a4061b_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28460392812_9697a4061b_o.jpg,2988,5312,JPEG,RGB,2988
train,fire,flickr,28460392862,28460392862_87e7994f28_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28460392862_87e7994f28_o.jpg,5312,2988,JPEG,RGB,2988
train,fire,flickr,28460392932,28460392932_8f8f418376_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28460392932_8f8f418376_o.jpg,2048,1536,JPEG,RGB,1536
train,fire,flickr,28460393002,28460393002_6997371aa6_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28460393002_6997371aa6_o.jpg,768,1024,JPEG,RGB,768
train,fire,flickr,28515641211,28515641211_84eba008bd_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28515641211_84eba008bd_o.jpg,2988,5312,JPEG,RGB,2988
train,fire,flickr,28534641454,28534641454_6e250001b1_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28534641454_6e250001b1_o.jpg,1632,1224,JPEG,RGB,1224
train,fire,flickr,28534678716,28534678716_d2721e1f16_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28534678716_d2721e1f16_o.jpg,1152,768,JPEG,RGB,768
train,fire,flickr,28537729283,28537729283_1d2daeaf5f_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28537729283_1d2daeaf5f_o.jpg,2080,1560,JPEG,RGB,1560
train,fire,flickr,28736630711,28736630711_0e5dfc16db_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28736630711_0e5dfc16db_o.jpg,4032,3024,JPEG,RGB,3024
train,fire,flickr,28743621984,28743621984_dde9e64c11_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28743621984_dde9e64c11_o.jpg,3648,5472,JPEG,RGB,3648
train,fire,flickr,28743622414,28743622414_9982dcd3e0_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28743622414_9982dcd3e0_o.jpg,3648,5472,JPEG,RGB,3648
train,fire,flickr,28752190796,28752190796_96d6b5ed3a_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28752190796_96d6b5ed3a_o.jpg,3264,2448,JPEG,RGB,2448
train,fire,flickr,28757337722,28757337722_68a87d1f68_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28757337722_68a87d1f68_o.jpg,3264,1836,JPEG,RGB,1836
train,fire,flickr,28786217271,28786217271_4051825d50_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28786217271_4051825d50_o.jpg,2560,1440,JPEG,RGB,1440
train,fire,flickr,28790160057,28790160057_7f620b0f0e_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28790160057_7f620b0f0e_o.jpg,1200,900,JPEG,RGB,900
train,fire,flickr,28809483774,28809483774_95e628c956_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28809483774_95e628c956_o.jpg,5760,3840,JPEG,RGB,3840
train,fire,flickr,28811874523,28811874523_557bd5d653_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28811874523_557bd5d653_o.jpg,3840,5760,JPEG,RGB,3840
train,fire,flickr,28812298933,28812298933_d2076951cd_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28812298933_d2076951cd_o.jpg,5472,3648,JPEG,RGB,3648
train,fire,flickr,28861884925,28861884925_bdfb4316a2_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28861884925_bdfb4316a2_o.jpg,2560,1440,JPEG,RGB,1440
train,fire,flickr,28884029841,28884029841_1c482d5cea_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28884029841_1c482d5cea_o.jpg,2048,1152,JPEG,RGB,1152
train,fire,flickr,28884030381,28884030381_30546358a6_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28884030381_30546358a6_o.jpg,2048,1152,JPEG,RGB,1152
train,fire,flickr,28884030621,28884030621_a460cbd512_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28884030621_a460cbd512_o.jpg,2048,1152,JPEG,RGB,1152
train,fire,flickr,28938988265,28938988265_c0f1b478ce_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28938988265_c0f1b478ce_o.jpg,730,487,JPEG,RGB,487
train,fire,flickr,28963795860,28963795860_47a7439e21_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/28963795860_47a7439e21_o.jpg,3413,1920,JPEG,RGB,1920
train,fire,flickr,29012886626,29012886626_b81f04e597_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29012886626_b81f04e597_o.jpg,2448,3264,JPEG,RGB,2448
train,fire,flickr,29039280892,29039280892_0be96308bd_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29039280892_0be96308bd_o.jpg,3000,1326,JPEG,RGB,1326
train,fire,flickr,29050868782,29050868782_35d8ca6835_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29050868782_35d8ca6835_o.jpg,1080,720,JPEG,RGB,720
train,fire,flickr,29050919492,29050919492_af920985de_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29050919492_af920985de_o.jpg,5472,3648,JPEG,RGB,3648
train,fire,flickr,29050921152,29050921152_a962e3e84f_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29050921152_a962e3e84f_o.jpg,768,1024,JPEG,RGB,768
train,fire,flickr,29051042712,29051042712_4e90da02eb_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29051042712_4e90da02eb_o.jpg,2964,2037,JPEG,RGB,2037
train,fire,flickr,29051042872,29051042872_3c7a0a50a6_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29051042872_3c7a0a50a6_o.jpg,720,1080,JPEG,RGB,720
train,fire,flickr,29053748132,29053748132_7a1d89ea91_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29053748132_7a1d89ea91_o.jpg,7360,4912,JPEG,RGB,4912
train,fire,flickr,29079516630,29079516630_d726213e54_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29079516630_d726213e54_o.jpg,5472,3648,JPEG,RGB,3648
train,fire,flickr,29079517220,29079517220_5146896fc8_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29079517220_5146896fc8_o.jpg,6000,4000,JPEG,RGB,4000
train,fire,flickr,29130251788,29130251788_bf65aa8530_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29130251788_bf65aa8530_o.jpg,4288,2848,JPEG,RGB,2848
train,fire,flickr,29156511165,29156511165_7f0a1cf263_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29156511165_7f0a1cf263_o.jpg,1500,1125,JPEG,RGB,1125
train,fire,flickr,29156511225,29156511225_78225ab62c_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29156511225_78225ab62c_o.jpg,560,560,JPEG,RGB,560
train,fire,flickr,29156511375,29156511375_4c6bdfcc17_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29156511375_4c6bdfcc17_o.jpg,2448,3264,JPEG,RGB,2448
train,fire,flickr,29156511535,29156511535_6c37844879_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29156511535_6c37844879_o.jpg,1500,1125,JPEG,RGB,1125
train,fire,flickr,29156511655,29156511655_b5a7073d55_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29156511655_b5a7073d55_o.jpg,1080,741,JPEG,RGB,741
train,fire,flickr,29156511905,29156511905_354ebebd35_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29156511905_354ebebd35_o.jpg,1560,2080,JPEG,RGB,1560
train,fire,flickr,29193406884,29193406884_e425662e76_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29193406884_e425662e76_o.jpg,2448,3264,JPEG,RGB,2448
train,fire,flickr,29217069592,29217069592_e139451645_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29217069592_e139451645_o.jpg,4997,3456,JPEG,RGB,3456
train,fire,flickr,29217081572,29217081572_916011567e_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29217081572_916011567e_o.jpg,5184,3456,JPEG,RGB,3456
train,fire,flickr,29291581436,29291581436_f8f73e28cd_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29291581436_f8f73e28cd_o.jpg,5472,3648,JPEG,RGB,3648
train,fire,flickr,29325398052,29325398052_e2e665bfca_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29325398052_e2e665bfca_o.jpg,5490,3660,JPEG,RGB,3660
train,fire,flickr,29325831982,29325831982_e5743845e0_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29325831982_e5743845e0_o.jpg,5472,3648,JPEG,RGB,3648
train,fire,flickr,29333324226,29333324226_cf4d807cd4_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29333324226_cf4d807cd4_o.jpg,1500,1125,JPEG,RGB,1125
train,fire,flickr,29369955805,29369955805_f0a93ac77e_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29369955805_f0a93ac77e_o.jpg,2784,1945,JPEG,RGB,1945
train,fire,flickr,29369957265,29369957265_4873339791_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29369957265_4873339791_o.jpg,3306,2432,JPEG,RGB,2432
train,fire,flickr,29431349738,29431349738_46e59567ea_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29431349738_46e59567ea_o.jpg,5472,3648,JPEG,RGB,3648
train,fire,flickr,29434256445,29434256445_0fb01747a6_o.jpg,/kaggle/input/datasets/elmadafri/the-wildfire-dataset/the_wildfire_dataset_2n_version/train/fire/29434256445_0fb01747a6_o.jpg,5724,3816,JPEG,RGB,3816
